date(日期),time(时间),s-ip(服务器 IP 地址),cs-method(请求方法),cs-uri-stem(URI 资源 ),cs-uri-query(URI 查询),s-port(服务器端口),c-ip(客户端 IP 地址),cs(User-Agent)(浏览器类型),sc-status(状态码)
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/logs/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/qgdevgklxd,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/help/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/bchudflxuz,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:33,10.115.98.108,GET,/Reg/Main,-,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:33,10.115.98.108,GET,/Reg/Main/ShowExpire,_=1676613330956,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:36,10.115.98.108,GET,/Reg/Case/CaseToDoMain,_=1676613330957,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Case/CaseDetail,caseId=152302150035&_=1676613330958,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/swfupload/swfupload.js,_=1676613330959,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/swfupload/swfupload.queue.js,_=1676613330960,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ1.js,_=1676613330961,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ2.js,_=1676613330962,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330963,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ8.js,_=1676613330964,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:44,10.115.98.108,GET,/favicon.ico,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
