date(日期),time(时间),s-ip(服务器 IP 地址),cs-method(请求方法),cs-uri-stem(URI 资源 ),cs-uri-query(URI 查询),s-port(服务器端口),c-ip(客户端 IP 地址),cs(User-Agent)(浏览器类型),sc-status(状态码)
2023-02-17,01:52:15,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676598871771,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,01:54:55,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937616,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,01:54:56,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676598903296,881,118.212.157.128,Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,01:56:36,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937628,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,01:59:15,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937652,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,02:06:27,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937663,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,02:06:42,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937671,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,02:07:46,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937682,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,02:14:52,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937690,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,02:15:28,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597937697,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
